21-1 C400,Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
21-1 C400,07/30/2021,48.16,48.93,47.87,47.99,-2.02,92,18450,22.82%,0.7382265264119,0.0047428991623735,-0.055906094793353,0.97479716441431,0.96978517542349,48.540055485215,438.51,400
21-1 C400,07/29/2021,49.62,50.34,49.62,50.01,1.56,7,18450,21.96%,0.75431679107485,0.004737421508939,-0.051346608848192,0.94907745020465,0.98829270172018,49.340073374194,440.65,400
21-1 C400,07/28/2021,48.6,48.94,48.35,48.45,0.31,7,18462,22.40%,0.74163709047684,0.0047726028573119,-0.053824518898803,0.97417993650211,0.98603714420165,48.450096039429,438.83,400
21-1 C400,07/27/2021,47.63,48.14,47.35,48.14,-1.86,10,18462,21.87%,0.74595173277502,0.0048305282630539,-0.051737478555041,0.96866520010342,0.99801195645455,48.139999999976,439.01,400
21-1 C400,07/26/2021,49.2,50,49.2,50,0.69,26,18462,22.47%,0.7503635054801,0.0046238831472314,-0.052750372316729,0.96655639356177,1.0071195859496,50.260067072695,441.02,400
21-1 C400,07/23/2021,47.22,49.31,47.22,49.31,3.49,25,18468,22.17%,0.7459175355661,0.004702438334105,-0.051849819405697,0.98126880429353,1.019199743979,49.310068450358,439.94,400
21-1 C400,07/22/2021,45.82,45.82,45.82,45.82,0.52,1,18469,21.93%,0.72551270913086,0.0049817306103741,-0.053034914503994,1.0136794611046,1.0001942413851,45.81999999999,435.46,400
21-1 C400,07/21/2021,44.35,45.3,44.35,45.3,2.34,20,18463,22.01%,0.71991514689588,0.0050075763587622,-0.05363153218206,1.0244369023879,0.99816913490258,45.300061051198,434.55,400
21-1 C400,07/20/2021,39.87,43.9,39.87,42.96,4.55,39,18481,22.61%,0.69735250175061,0.0050720550012146,-0.057001906478648,1.0579142756276,0.98916713694071,43.490053571433,431.06,400
21-1 C400,07/19/2021,39.79,39.79,37.67,38.41,-4.79,39,18474,22.30%,0.6662488856096,0.0054171467011577,-0.05809691658048,1.091513555928,0.96573975554293,39.065065995577,424.97,400
21-1 C400,07/16/2021,46.18,46.18,42.95,43.2,-2.2,19,18474,21.65%,0.70329265123991,0.0051974819142996,-0.053158912095604,1.0599988445376,1.0161596811997,42.905057062849,431.34,400
